"Country","Year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Jamaica","2022","89","12","89","9","327","85","1274","118","46","5242","1691","0","19","7","193","71","13","21","36","88","73","843","674","116","52","42","59","0","10","48","23","1719","13","6828","294","12","146","25","17","794","0","37","160","8","87","626","13","21","370","86","28","43","0"
"Japan","2022","9","0","43","4","594","22","19","0","11","59","52","17","153","9","45","14","4","7","9","4","3","38","44","35","14","3","7","0","0","28","7","84","6","185","30","0","28","4","46","27","0","3","6","0","13","100","12","0","50","123","5","11","0"
"Jordan","2022","38","3","55","13","672","21","40","4","6","292","62","0","0","0","529","84","12","22","43","92","4","63","61","217","36","12","50","0","11","13","7","295","17","221","69","0","316","22","21","113","8","3","28","0","79","532","9","0","154","70","3","85","0"
"Kazakhstan","2022","3","0","6","0","231","28","5","0","5","93","19","0","3","6","56","7","6","3","8","3","3","17","23","6","18","0","8","0","0","8","0","40","4","193","23","0","31","6","28","50","0","0","14","0","7","102","5","0","46","101","0","10","0"
"Kenya","2022","72","4","123","15","372","80","28","98","21","96","292","0","8","16","82","81","63","120","52","11","11","256","292","52","713","7","129","3","53","19","21","257","6","149","138","29","198","41","53","189","0","6","19","6","60","1033","17","9","114","474","3","38","0"
"Korea, South","2022","193","31","107","21","4248","149","82","19","30","199","1099","37","156","15","461","73","17","38","31","30","5","458","215","207","48","10","50","4","8","141","5","1290","13","1437","178","4","140","35","152","381","0","6","43","0","72","1080","64","0","867","718","6","29","0"
"Kosovo","2022","4","0","22","3","14","0","42","0","0","45","22","0","0","7","37","0","7","0","16","0","0","7","17","48","0","0","5","3","0","5","3","59","0","314","5","0","4","8","5","33","0","0","6","0","6","50","0","0","13","12","0","22","0"
"Kuwait","2022","7","0","18","3","193","11","7","0","4","56","25","0","0","7","66","18","4","13","10","13","5","16","33","64","10","0","10","0","5","6","0","82","3","74","15","0","44","7","8","32","0","0","7","0","13","173","0","0","49","45","0","16","0"
"Kyrgyzstan","2022","0","0","4","0","112","9","4","0","3","34","14","0","0","0","139","3","0","0","0","0","0","4","22","0","16","0","9","0","0","0","0","20","0","104","10","0","28","4","18","43","0","0","4","0","4","40","0","0","33","53","0","0","0"
"Laos","2022","15","13","11","49","466","22","21","0","0","34","64","0","13","4","22","3","47","39","0","10","0","10","20","30","276","0","8","0","4","14","0","4","0","14","55","0","16","21","32","23","0","21","16","0","28","94","16","0","27","81","0","166","0"
"Latvia","2022","3","0","5","0","69","6","8","4","0","39","9","0","0","0","15","0","0","0","3","0","0","7","11","0","6","0","0","0","0","0","0","15","0","49","7","0","3","0","8","8","0","0","7","0","0","20","0","0","5","13","0","5","0"
"Lebanon","2022","7","0","35","0","526","17","16","4","18","178","61","0","0","0","64","17","5","15","14","13","3","26","181","558","22","0","6","0","4","22","17","116","4","173","34","0","124","17","14","63","0","9","9","0","10","336","7","0","128","45","0","10","0"
"Liberia","2022","7","0","38","3","73","34","29","99","9","27","206","0","0","0","38","47","168","13","48","0","0","266","134","45","610","0","23","0","6","10","8","357","3","200","151","130","97","11","16","897","0","160","6","26","37","279","5","4","89","35","6","20","0"
"Libya","2022","0","0","6","0","50","16","7","0","0","29","12","0","0","0","16","5","3","0","6","0","0","5","16","22","7","0","12","0","3","4","0","21","0","26","5","0","38","6","10","17","0","0","4","0","8","64","0","0","25","26","0","8","0"
"Lithuania","2022","0","0","6","0","50","11","5","0","0","58","20","0","0","0","260","7","3","0","0","0","0","8","7","14","7","0","0","0","3","11","0","40","0","59","8","0","12","0","8","12","0","0","6","0","0","11","0","0","15","17","0","7","0"
"Macau","2022","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","16","0","0","0","0","3","0","0","0","0","0","0","6","0","0","0","6","0","0","0"
"Malawi","2022","3","0","0","0","10","0","0","0","0","6","15","0","0","0","4","15","0","0","4","0","0","9","7","11","0","0","0","0","0","0","0","4","0","10","0","0","5","4","0","5","0","0","0","0","3","23","0","0","8","3","0","3","0"
"Malaysia","2022","5","5","27","0","331","25","4","0","0","49","58","0","9","7","42","20","0","9","6","6","0","28","27","14","19","0","9","0","5","13","0","44","4","204","13","0","17","12","23","21","0","3","6","0","6","137","0","0","34","65","0","53","0"
