Region and country of birth;Continent;Year;Total;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Guam;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Puerto Rico;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
Saudi Arabia;Asia;2020; 998 ; 8 ; -   ; 11 ; -   ; 131 ; 17 ; 12 ; -   ; 5 ; 43 ; 22 ; -   ; -   ; -   ; 54 ; 10 ; 8 ; 8 ; -   ; 3 ; -   ; 33 ; 18 ; 35 ; 44 ; -   ; 15 ; -   ; 5 ; 9 ; -   ; 40 ; 5 ; 80 ; 27 ; -   ; 44 ; 5 ; 10 ; 17 ; -   ; -   ; -   ; -   ; 19 ; 132 ; 9 ; -   ; 60 ; 28 ; -   ; 5 ; -   
Senegal;Africa;2020; 742 ; 8 ; -   ; 3 ; -   ; 23 ; 10 ; 4 ; -   ; 3 ; 10 ; 43 ; -   ; -   ; -   ; 7 ; 9 ; 3 ; -   ; 17 ; 5 ; -   ; 73 ; 18 ; 13 ; 5 ; 3 ; 7 ; -   ; -   ; 4 ; -   ; 19 ; -   ; 155 ; 27 ; -   ; 80 ; 4 ; 6 ; 18 ; -   ; 14 ; 9 ; -   ; 21 ; 42 ; -   ; -   ; 19 ; 24 ; -   ; 6 ; -   
Serbia;Europe;2020; 569 ; -   ; -   ; 11 ; -   ; 71 ; 6 ; 6 ; -   ; 4 ; 88 ; 7 ; -   ; -   ; -   ; 104 ; 4 ; -   ; -   ; 4 ; -   ; -   ; 15 ; 5 ; 6 ; 3 ; -   ; 3 ; -   ; -   ; 17 ; -   ; 14 ; -   ; 76 ; 9 ; -   ; 10 ; -   ; 3 ; 12 ; -   ; -   ; -   ; -   ; 6 ; 25 ; -   ; -   ; 24 ; 8 ; -   ; 7 ; -   
Serbia and Montenegro (former);Europe;2020; 494 ; 3 ; -   ; 15 ; -   ; 43 ; 7 ; 18 ; -   ; 6 ; 37 ; 12 ; -   ; -   ; -   ; 45 ; -   ; 4 ; -   ; 3 ; -   ; -   ; 8 ; 9 ; 35 ; 3 ; -   ; 11 ; -   ; -   ; 10 ; 4 ; 22 ; -   ; 112 ; 5 ; -   ; 11 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; 4 ; 9 ; -   ; -   ; 16 ; 6 ; -   ; 6 ; -   
Sierra Leone;Africa;2020; 1.319 ; 4 ; -   ; 17 ; -   ; 37 ; 3 ; 6 ; 12 ; 11 ; 20 ; 46 ; -   ; -   ; -   ; 7 ; 3 ; 5 ; 3 ; -   ; -   ; -   ; 345 ; 43 ; 12 ; 31 ; -   ; 5 ; -   ; -   ; 5 ; -   ; 68 ; -   ; 122 ; 34 ; 4 ; 77 ; -   ; -   ; 125 ; -   ; 3 ; -   ; -   ; 10 ; 74 ; -   ; -   ; 136 ; 10 ; -   ; -   ; -   
Singapore;Asia;2020; 255 ; 6 ; -   ; -   ; -   ; 69 ; 3 ; -   ; -   ; -   ; 7 ; 6 ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 8 ; 5 ; 3 ; -   ; -   ; -   ; -   ; 4 ; -   ; 13 ; -   ; 21 ; 7 ; -   ; 5 ; -   ; 3 ; 3 ; -   ; -   ; 3 ; -   ; 3 ; 33 ; -   ; -   ; 5 ; 19 ; -   ; -   ; -   
Slovakia;Europe;2020; 275 ; -   ; -   ; 3 ; -   ; 34 ; 10 ; 9 ; -   ; -   ; 38 ; 8 ; -   ; 5 ; -   ; 19 ; 3 ; -   ; -   ; -   ; -   ; -   ; 7 ; 10 ; -   ; 4 ; -   ; 3 ; -   ; -   ; 6 ; -   ; 24 ; -   ; 31 ; 6 ; -   ; 3 ; 3 ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; 14 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   
Slovenia;Europe;2020; 68 ; -   ; -   ; -   ; -   ; 14 ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Somalia;Africa;2020; 5.684 ; -   ; 18 ; 89 ; -   ; 54 ; 140 ; -   ; -   ; -   ; 4 ; 62 ; -   ; -   ; 9 ; 36 ; 7 ; 47 ; 68 ; 136 ; -   ; 59 ; 15 ; 81 ; 35 ; 2.613 ; -   ; 114 ; -   ; 190 ; 8 ; -   ; -   ; -   ; 91 ; 32 ; 70 ; 566 ; -   ; 91 ; 31 ; -   ; -   ; -   ; 25 ; 124 ; 146 ; 72 ; 7 ; 34 ; 306 ; -   ; 135 ; -   
South Africa;Africa;2020; 2.084 ; 27 ; -   ; 47 ; 10 ; 290 ; 68 ; 21 ; 5 ; 7 ; 244 ; 121 ; -   ; 6 ; 8 ; 47 ; 10 ; 9 ; 14 ; 6 ; 12 ; 5 ; 48 ; 57 ; 20 ; 30 ; 8 ; 16 ; -   ; 12 ; 26 ; 4 ; 44 ; 4 ; 102 ; 87 ; 9 ; 25 ; 8 ; 34 ; 41 ; -   ; -   ; 41 ; 3 ; 49 ; 224 ; 35 ; 5 ; 79 ; 70 ; 5 ; 16 ; -   
South Sudan;Africa;2020; 101 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 18 ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; 3 ; -   ; -   ; -   ; 7 ; -   ; -   ; -   ; -   ; -   ; 3 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 13 ; 4 ; -   ; -   ; 7 ; -   ; -   ; -   
Soviet Union (former);Africa;2020; 1.589 ; 7 ; 6 ; 18 ; -   ; 318 ; 30 ; 25 ; -   ; 6 ; 133 ; 41 ; -   ; 3 ; 3 ; 55 ; 7 ; 9 ; 4 ; 9 ; 6 ; -   ; 45 ; 95 ; 8 ; 18 ; -   ; 9 ; -   ; -   ; 20 ; -   ; 79 ; 3 ; 203 ; 33 ; -   ; 16 ; -   ; 18 ; 49 ; -   ; -   ; 21 ; -   ; 19 ; 78 ; 8 ; -   ; 59 ; 79 ; -   ; 13 ; -   
Spain;Europe;2020; 1.517 ; 5 ; -   ; 24 ; 3 ; 211 ; 26 ; 26 ; -   ; 17 ; 331 ; 23 ; -   ; 7 ; -   ; 41 ; 11 ; 7 ; 5 ; 6 ; 8 ; 4 ; 46 ; 51 ; 13 ; 15 ; -   ; 14 ; 3 ; -   ; 12 ; 4 ; 51 ; 7 ; 157 ; 29 ; -   ; 13 ; -   ; 12 ; 32 ; 16 ; -   ; 16 ; -   ; 12 ; 109 ; 13 ; -   ; 52 ; 38 ; -   ; 11 ; -   
Sri Lanka;Asia;2020; 1.140 ; 4 ; -   ; 7 ; 3 ; 248 ; 14 ; 13 ; -   ; -   ; 33 ; 16 ; -   ; -   ; -   ; 42 ; 5 ; 5 ; 14 ; -   ; 9 ; -   ; 90 ; 27 ; 16 ; 23 ; -   ; -   ; -   ; 3 ; 32 ; -   ; 56 ; -   ; 165 ; 25 ; -   ; 16 ; 7 ; 9 ; 22 ; -   ; -   ; 8 ; -   ; 6 ; 114 ; 10 ; -   ; 38 ; 30 ; -   ; 6 ; -   
Sudan;Africa;2020; 1.753 ; 8 ; 9 ; 71 ; -   ; 72 ; 64 ; 8 ; -   ; 7 ; 24 ; 52 ; -   ; -   ; 22 ; 45 ; 25 ; 146 ; 22 ; 15 ; 6 ; 12 ; 70 ; 36 ; 54 ; 55 ; -   ; 37 ; -   ; 91 ; 10 ; 10 ; 23 ; -   ; 97 ; 81 ; 10 ; 45 ; 4 ; 4 ; 41 ; -   ; -   ; 6 ; 13 ; 49 ; 134 ; 47 ; -   ; 131 ; 49 ; -   ; 16 ; -   
Suriname;South America;2020; 91 ; -   ; -   ; -   ; -   ; 5 ; -   ; 4 ; -   ; -   ; 24 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; -   ; 31 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Sweden;Europe;2020; 731 ; 5 ; -   ; 14 ; 4 ; 190 ; 23 ; 15 ; -   ; 5 ; 75 ; 18 ; -   ; 7 ; 3 ; 23 ; 5 ; -   ; -   ; 3 ; 3 ; -   ; 6 ; 24 ; 7 ; 12 ; -   ; 4 ; -   ; -   ; 11 ; 7 ; 13 ; -   ; 63 ; 20 ; -   ; 10 ; 5 ; -   ; 8 ; -   ; -   ; 5 ; -   ; 7 ; 45 ; 14 ; -   ; 20 ; 25 ; -   ; -   ; -   
Switzerland;Europe;2020; 365 ; 3 ; -   ; 8 ; -   ; 75 ; 12 ; 7 ; -   ; 3 ; 50 ; 8 ; -   ; -   ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 7 ; 6 ; 4 ; -   ; 4 ; 3 ; -   ; -   ; 4 ; 12 ; -   ; 33 ; 6 ; -   ; 3 ; -   ; 5 ; 7 ; -   ; -   ; -   ; -   ; 5 ; 28 ; 6 ; 5 ; 12 ; 8 ; -   ; 3 ; -   
Syria;Asia;2020; 2.455 ; 11 ; -   ; 53 ; -   ; 740 ; 13 ; 42 ; 4 ; 6 ; 154 ; 37 ; -   ; -   ; 8 ; 159 ; 29 ; 7 ; 12 ; 8 ; 14 ; -   ; 32 ; 85 ; 108 ; 14 ; -   ; 15 ; -   ; 11 ; 21 ; -   ; 115 ; -   ; 117 ; 37 ; -   ; 93 ; 7 ; 21 ; 111 ; -   ; 12 ; 7 ; -   ; 22 ; 171 ; 10 ; -   ; 65 ; 17 ; 7 ; 15 ; -   
Taiwan;Asia;2020; 3.422 ; 16 ; -   ; 22 ; 4 ; 1.498 ; 34 ; 27 ; 5 ; 3 ; 58 ; 56 ; 4 ; 17 ; 10 ; 66 ; 15 ; 5 ; 8 ; 4 ; 9 ; -   ; 81 ; 97 ; 42 ; 22 ; -   ; 28 ; -   ; 3 ; 64 ; 8 ; 82 ; 7 ; 228 ; 70 ; -   ; 23 ; 10 ; 45 ; 45 ; -   ; -   ; 11 ; -   ; 21 ; 323 ; 40 ; -   ; 55 ; 192 ; -   ; 15 ; -   
Tajikistan;Asia;2020; 251 ; -   ; -   ; -   ; -   ; 30 ; 14 ; -   ; -   ; -   ; 12 ; 4 ; -   ; -   ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; 6 ; -   ; 5 ; -   ; 9 ; -   ; -   ; 11 ; -   ; 70 ; -   ; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; 4 ; -   ; -   ; 10 ; -   ; -   ; 11 ; 4 ; -   ; -   ; -   
Tanzania;Africa;2020; 530 ; 6 ; -   ; 16 ; 4 ; 25 ; 5 ; 4 ; 4 ; 5 ; 21 ; 19 ; -   ; -   ; 5 ; 25 ; 9 ; 20 ; 13 ; 5 ; -   ; -   ; 44 ; 23 ; 15 ; 15 ; -   ; 9 ; -   ; -   ; 4 ; -   ; 5 ; 5 ; 18 ; 17 ; -   ; 24 ; 3 ; -   ; 6 ; -   ; -   ; -   ; 6 ; 12 ; 79 ; 8 ; -   ; 17 ; 11 ; -   ; 4 ; -   
Togo;Africa;2020; 927 ; 9 ; -   ; 12 ; -   ; 14 ; 19 ; 16 ; 3 ; 9 ; 13 ; 59 ; -   ; -   ; -   ; 68 ; 13 ; 52 ; 3 ; 6 ; 3 ; -   ; 137 ; 11 ; 8 ; 54 ; -   ; 11 ; -   ; 26 ; -   ; 3 ; 12 ; -   ; 105 ; 46 ; -   ; 22 ; -   ; -   ; 26 ; -   ; -   ; 6 ; 7 ; 14 ; 49 ; 6 ; -   ; 36 ; 5 ; -   ; 13 ; -   
Tonga;Oceania;2020; 300 ; -   ; -   ; 7 ; -   ; 109 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 11 ; 112 ; -   ; 4 ; 18 ; -   ; -   ; -   
Tunisia;Africa;2020; 295 ; 6 ; -   ; 4 ; -   ; 49 ; 4 ; -   ; -   ; 3 ; 38 ; 7 ; -   ; -   ; -   ; 9 ; 5 ; -   ; -   ; -   ; -   ; -   ; 14 ; 6 ; 6 ; -   ; -   ; 3 ; 3 ; -   ; 7 ; -   ; 7 ; 3 ; 16 ; 7 ; -   ; 8 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; 9 ; 19 ; -   ; -   ; 14 ; 3 ; -   ; 4 ; -   
Turkey;Asia;2020; 2.305 ; 19 ; -   ; 22 ; 5 ; 340 ; 40 ; 44 ; 15 ; 8 ; 193 ; 62 ; -   ; -   ; -   ; 70 ; 12 ; 5 ; 7 ; 3 ; 22 ; -   ; 77 ; 80 ; 17 ; 19 ; 5 ; 16 ; -   ; 5 ; 22 ; 8 ; 241 ; -   ; 318 ; 38 ; -   ; 40 ; 5 ; 11 ; 56 ; -   ; 6 ; 18 ; -   ; 19 ; 212 ; 6 ; -   ; 103 ; 68 ; -   ; 9 ; -   
Turkmenistan;Asia;2020; 122 ; -   ; -   ; -   ; -   ; 18 ; -   ; -   ; -   ; -   ; 9 ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; 27 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 18 ; -   ; -   ; 4 ; 10 ; -   ; -   ; -   
Thailand;Asia;2020; 5.572 ; 48 ; 28 ; 143 ; 36 ; 934 ; 117 ; 50 ; 4 ; -   ; 268 ; 175 ; 5 ; 32 ; 20 ; 146 ; 89 ; 114 ; 48 ; 54 ; 24 ; 12 ; 116 ; 154 ; 47 ; 448 ; 16 ; 52 ; 7 ; 156 ; 157 ; 21 ; 35 ; 17 ; 288 ; 160 ; 4 ; 62 ; 20 ; 77 ; 91 ; -   ; 9 ; 39 ; 38 ; 91 ; 411 ; 103 ; 6 ; 165 ; 171 ; 7 ; 169 ; -   
Trinidad and Tobago;North America;2020; 3.027 ; 10 ; -   ; 12 ; -   ; 59 ; 6 ; 34 ; 12 ; 26 ; 548 ; 112 ; -   ; -   ; -   ; 18 ; 13 ; -   ; -   ; 4 ; 21 ; -   ; 165 ; 82 ; 14 ; 15 ; 4 ; 3 ; -   ; -   ; 8 ; -   ; 179 ; -   ; 1.178 ; 32 ; -   ; 13 ; 6 ; 5 ; 89 ; -   ; 7 ; 17 ; -   ; 23 ; 154 ; -   ; -   ; 49 ; 20 ; 3 ; 5 ; -   
Uganda;Africa;2020; 727 ; 4 ; -   ; 13 ; -   ; 70 ; 25 ; 6 ; -   ; 5 ; 16 ; 18 ; -   ; -   ; -   ; 21 ; 3 ; -   ; 3 ; 3 ; 3 ; 4 ; 81 ; 193 ; 7 ; 30 ; -   ; 6 ; -   ; 5 ; -   ; -   ; 12 ; -   ; 17 ; 12 ; -   ; 16 ; 5 ; 3 ; 12 ; -   ; -   ; 7 ; 5 ; 9 ; 44 ; 3 ; -   ; 23 ; 21 ; -   ; 4 ; -   
Ukraine;Europe;2020; 5.444 ; 20 ; 14 ; 37 ; 6 ; 681 ; 101 ; 86 ; 4 ; 9 ; 381 ; 92 ; -   ; 8 ; 22 ; 467 ; 28 ; 18 ; 14 ; 21 ; 24 ; 3 ; 107 ; 121 ; 103 ; 93 ; 8 ; 44 ; 9 ; 11 ; 48 ; 7 ; 197 ; 7 ; 786 ; 103 ; 5 ; 171 ; 6 ; 140 ; 244 ; -   ; -   ; 98 ; 13 ; 63 ; 160 ; 25 ; -   ; 102 ; 631 ; -   ; 29 ; -   
United Arab Emirates;Asia;2020; 545 ; -   ; -   ; 9 ; -   ; 94 ; 9 ; 5 ; -   ; -   ; 29 ; 14 ; -   ; -   ; -   ; 24 ; 7 ; 5 ; 3 ; -   ; -   ; -   ; 18 ; 15 ; 21 ; 11 ; -   ; 4 ; -   ; -   ; -   ; -   ; 12 ; -   ; 46 ; 11 ; -   ; 16 ; 8 ; 6 ; 11 ; -   ; -   ; 3 ; -   ; 3 ; 90 ; 5 ; -   ; 29 ; 17 ; -   ; 5 ; -   
United Kingdom;Europe;2020; 8.842 ; 84 ; 10 ; 220 ; 35 ; 1.496 ; 242 ; 172 ; 18 ; 34 ; 914 ; 302 ; -   ; 21 ; 22 ; 190 ; 74 ; 26 ; 42 ; 24 ; 54 ; 31 ; 196 ; 404 ; 148 ; 101 ; 17 ; 56 ; 17 ; 20 ; 112 ; 44 ; 208 ; 32 ; 706 ; 322 ; -   ; 135 ; 37 ; 90 ; 220 ; -   ; 17 ; 124 ; 5 ; 149 ; 850 ; 99 ; 16 ; 228 ; 258 ; 7 ; 65 ; 6 
United States;North America;2020; 163 ; 3 ; -   ; -   ; -   ; 34 ; -   ; 3 ; -   ; -   ; 21 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; 6 ; 4 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 7 ; -   ; 18 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; 6 ; 4 ; -   ; -   ; -   
Uruguay;South America;2020; 822 ; -   ; -   ; 7 ; -   ; 38 ; 3 ; 16 ; -   ; -   ; 276 ; 60 ; -   ; -   ; -   ; 15 ; -   ; -   ; -   ; 3 ; 3 ; -   ; 25 ; 42 ; 4 ; 10 ; -   ; 3 ; -   ; -   ; 8 ; 4 ; 91 ; -   ; 46 ; 23 ; -   ; 9 ; -   ; -   ; 5 ; 7 ; -   ; 16 ; -   ; 8 ; 41 ; 18 ; -   ; 14 ; 3 ; -   ; 6 ; -   
Uzbekistan;Asia;2020; 1.482 ; -   ; -   ; 25 ; -   ; 169 ; 30 ; 15 ; -   ; -   ; 115 ; 28 ; -   ; -   ; 6 ; 43 ; 3 ; -   ; 4 ; 4 ; -   ; -   ; 45 ; 21 ; 6 ; 11 ; -   ; 15 ; -   ; -   ; 5 ; 3 ; 43 ; -   ; 481 ; 21 ; -   ; 62 ; 3 ; 15 ; 88 ; -   ; -   ; 30 ; -   ; 29 ; 36 ; 8 ; -   ; 33 ; 36 ; -   ; 7 ; -   
Venezuela;South America;2020; 6.993 ; 41 ; -   ; 49 ; 10 ; 228 ; 56 ; 27 ; 5 ; 15 ; 3.935 ; 201 ; -   ; 5 ; -   ; 66 ; 38 ; 11 ; 9 ; 15 ; 53 ; -   ; 81 ; 94 ; 18 ; 34 ; 12 ; 21 ; -   ; 8 ; 33 ; 3 ; 115 ; 6 ; 207 ; 121 ; -   ; 49 ; 41 ; 19 ; 65 ; 81 ; 9 ; 35 ; -   ; 53 ; 811 ; 86 ; -   ; 93 ; 40 ; -   ; 7 ; -   
Vietnam;Asia;2020; 22.705 ; 241 ; 16 ; 551 ; 115 ; 6.626 ; 363 ; 87 ; 16 ; 14 ; 1.060 ; 1.017 ; -   ; 86 ; 13 ; 292 ; 101 ; 162 ; 219 ; 51 ; 568 ; 22 ; 419 ; 666 ; 207 ; 478 ; 97 ; 242 ; 11 ; 169 ; 191 ; 37 ; 179 ; 64 ; 281 ; 573 ; 21 ; 192 ; 199 ; 265 ; 486 ; -   ; 13 ; 121 ; 9 ; 251 ; 3.726 ; 166 ; 11 ; 640 ; 1.034 ; 13 ; 72 ; 5 
Yemen;Asia;2020; 2.158 ; 48 ; -   ; 3 ; 7 ; 359 ; -   ; 26 ; 11 ; -   ; 11 ; 5 ; -   ; -   ; -   ; 67 ; 37 ; 4 ; -   ; -   ; 42 ; -   ; 10 ; 7 ; 486 ; 15 ; 42 ; 3 ; -   ; -   ; -   ; -   ; 11 ; -   ; 642 ; 97 ; -   ; 10 ; -   ; 7 ; 9 ; -   ; -   ; 3 ; -   ; 72 ; 10 ; -   ; -   ; 42 ; 10 ; -   ; -   ; -   
Zambia;Africa;2020; 340 ; -   ; -   ; 10 ; 4 ; 34 ; 8 ; -   ; -   ; -   ; 11 ; 36 ; -   ; -   ; 4 ; 14 ; 7 ; -   ; -   ; -   ; 4 ; -   ; 14 ; 8 ; 3 ; 11 ; -   ; -   ; -   ; -   ; 3 ; -   ; 13 ; -   ; 22 ; 12 ; -   ; 6 ; -   ; 3 ; 11 ; -   ; -   ; -   ; -   ; 7 ; 55 ; -   ; -   ; 6 ; 12 ; -   ; -   ; -   
Zimbabwe;Africa;2020; 559 ; 7 ; -   ; 19 ; -   ; 41 ; 12 ; -   ; -   ; 3 ; 19 ; 36 ; -   ; -   ; -   ; 12 ; 22 ; -   ; -   ; 7 ; -   ; -   ; 22 ; 26 ; 10 ; 9 ; -   ; 5 ; -   ; 4 ; 3 ; -   ; 10 ; -   ; 21 ; 26 ; -   ; 18 ; 3 ; -   ; 18 ; -   ; -   ; 5 ; -   ; 13 ; 119 ; 10 ; -   ; 27 ; 9 ; -   ; 5 ; -   
Afghanistan;Asia;2019; 2.794 ; 5 ; -   ; 55 ; -   ; 823 ; 59 ; 21 ; 4 ; 13 ; 44 ; 83 ; -   ; -   ; 24 ; 35 ; 19 ; 10 ; 6 ; 16 ; -   ; 18 ; 51 ; 25 ; 18 ; 13 ; -   ; 26 ; -   ; 19 ; 20 ; -   ; 45 ; 23 ; 249 ; 51 ; -   ; 32 ; -   ; 24 ; 51 ; -   ; -   ; 7 ; 3 ; 13 ; 177 ; 33 ; -   ; 534 ; 61 ; -   ; 6 ; 3 
Albania;Europe;2019; 2.778 ; -   ; -   ; 23 ; -   ; 52 ; 7 ; 149 ; 4 ; -   ; 268 ; 16 ; -   ; 4 ; 4 ; 169 ; 6 ; 4 ; -   ; -   ; -   ; 4 ; 25 ; 333 ; 396 ; 6 ; -   ; 36 ; -   ; -   ; 15 ; 15 ; 138 ; -   ; 562 ; 22 ; -   ; 72 ; 4 ; 3 ; 202 ; -   ; -   ; 15 ; -   ; 9 ; 69 ; 6 ; -   ; 34 ; 13 ; -   ; 32 ; -   
Algeria;Africa;2019; 1.235 ; 4 ; -   ; 4 ; -   ; 135 ; 33 ; 19 ; -   ; -   ; 49 ; 24 ; -   ; -   ; -   ; 83 ; 27 ; -   ; 48 ; 12 ; 13 ; -   ; 11 ; 58 ; 26 ; 6 ; -   ; 12 ; -   ; -   ; -   ; -   ; 74 ; -   ; 102 ; 32 ; -   ; 71 ; 3 ; 3 ; 163 ; -   ; -   ; -   ; -   ; 4 ; 116 ; -   ; -   ; 40 ; 17 ; -   ; 8 ; -   
American Samoa;Oceania;2019; 279 ; -   ; 17 ; 3 ; -   ; 39 ; 3 ; -   ; -   ; -   ; -   ; 7 ; -   ; 38 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 17 ; -   ; -   ; 4 ; 3 ; -   ; -   ; -   ; 3 ; -   ; -   ; 23 ; 19 ; -   ; 4 ; 48 ; -   ; -   ; -   
Antigua and Barbuda;North America;2019; 386 ; -   ; -   ; -   ; -   ; 4 ; -   ; 5 ; 3 ; -   ; 56 ; 21 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 9 ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; 27 ; -   ; 122 ; 16 ; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; 3 ; -   ; -   ; 17 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   
Angola;Africa;2019; 136 ; -   ; -   ; -   ; -   ; 8 ; -   ; -   ; -   ; 4 ; 6 ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; -   ; 12 ; 4 ; -   ; 4 ; -   ; -   ; 5 ; -   ; 4 ; -   ; -   ; -   ; 24 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   
Argentina;South America;2019; 3.956 ; 5 ; -   ; 21 ; 9 ; 452 ; 57 ; 64 ; 6 ; 23 ; 1.481 ; 79 ; -   ; 11 ; -   ; 64 ; 10 ; 9 ; 8 ; 7 ; 10 ; 4 ; 67 ; 56 ; 32 ; 37 ; 4 ; 17 ; -   ; -   ; 29 ; 5 ; 157 ; -   ; 286 ; 64 ; -   ; 27 ; 9 ; 15 ; 67 ; 20 ; 4 ; 23 ; 3 ; 20 ; 359 ; 85 ; -   ; 108 ; 38 ; -   ; 20 ; -   
Armenia;Asia;2019; 2.327 ; -   ; -   ; 4 ; -   ; 1.793 ; 15 ; 5 ; -   ; -   ; 32 ; 6 ; -   ; -   ; -   ; 6 ; -   ; 3 ; -   ; 3 ; -   ; -   ; 18 ; 39 ; 10 ; 6 ; -   ; -   ; -   ; -   ; 46 ; -   ; 34 ; -   ; 115 ; 11 ; -   ; 15 ; -   ; 5 ; 19 ; -   ; 5 ; 12 ; -   ; 3 ; 32 ; 8 ; -   ; 13 ; 22 ; -   ; 4 ; -   
Australia;Oceania;2019; 1.838 ; 17 ; 7 ; 39 ; 10 ; 383 ; 77 ; 25 ; 3 ; 9 ; 98 ; 56 ; -   ; 21 ; 8 ; 54 ; 11 ; 16 ; 8 ; 9 ; 10 ; 9 ; 26 ; 48 ; 35 ; 24 ; -   ; 14 ; 6 ; 5 ; 29 ; 8 ; 39 ; 9 ; 182 ; 52 ; -   ; 23 ; 5 ; 28 ; 40 ; -   ; 5 ; 12 ; -   ; 32 ; 155 ; 32 ; 4 ; 44 ; 59 ; -   ; 14 ; -   
Austria;Europe;2019; 214 ; -   ; -   ; 8 ; -   ; 35 ; 7 ; -   ; -   ; -   ; 35 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; 4 ; 5 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; -   ; 28 ; 7 ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 9 ; -   ; -   ; 5 ; 6 ; -   ; -   ; -   
Azerbaijan;Asia;2019; 597 ; -   ; -   ; 8 ; -   ; 122 ; 10 ; -   ; -   ; 4 ; 25 ; 6 ; -   ; -   ; -   ; 23 ; 4 ; -   ; 5 ; 3 ; -   ; -   ; 13 ; 10 ; 9 ; 3 ; -   ; 5 ; -   ; -   ; -   ; -   ; 15 ; -   ; 152 ; 14 ; -   ; 6 ; -   ; 6 ; 15 ; -   ; -   ; -   ; -   ; -   ; 44 ; 4 ; -   ; 24 ; 40 ; -   ; 3 ; -   
